Features,coefficients,Target
Age_45 - 54,0.088296,Heroin
Age_55 - 64,0.144668,Heroin
Country_Other,0.178166,Heroin
Education_Doctorate Degree,0.206892,Heroin
Country_UK,0.256459,Heroin
Education_University Degree,0.440098,Heroin
Alcohol,0.487551,Heroin
Country_Australia,0.505567,Heroin
Escore,0.524459,Heroin
Ascore,0.526098,Heroin
Age_65+,0.593266,Heroin
Oscore,0.61455,Heroin
Ecstasy,0.705176,Heroin
Semer,0.771063,Heroin
LSD,0.782079,Heroin
Country_New Zealand,0.810375,Heroin
Education_Left School at 17 years,0.812426,Heroin
Cannabis,0.851859,Heroin
Choc,0.855666,Heroin
Impulsive,0.872552,Heroin
Mushrooms,0.890095,Heroin
Nscore,0.89473,Heroin
Gender_Female,0.909547,Heroin
Amyl,0.924263,Heroin
Amphet,0.947788,Heroin
Legalh,0.972905,Heroin
Meth,1.004127,Heroin
SS,1.023208,Heroin
VSA,1.024026,Heroin
Ketamine,1.071699,Heroin
Gender_Male,1.099449,Heroin
Education_Left School at 18 years,1.218385,Heroin
Age_35 - 44,1.301601,Heroin
Nicotine,1.314952,Heroin
Education_Masters Degree,1.316855,Heroin
Benzos,1.413592,Heroin
Education_Left School Before 16 years,1.471495,Heroin
Education_Professional Certificate/ Diploma,1.490638,Heroin
"Education_Some College,No Certificate Or Degree",1.590769,Heroin
Country_Republic of Ireland,1.657176,Heroin
Cscore,1.684708,Heroin
Country_Canada,1.800999,Heroin
Caff,1.956651,Heroin
Coke,2.023449,Heroin
Crack,2.438727,Heroin
Education_Left School at 16 years,2.488935,Heroin
Age_18 - 24,3.710316,Heroin
Age_25 - 34,4.394246,Heroin
Country_USA,10.020977,Heroin
Heroin,0,Heroin
Oscore,0.013808,Crack
Legalh,0.014836,Crack
Education_Professional Certificate/ Diploma,0.03052,Crack
Gender_Female,0.119736,Crack
Age_18 - 24,0.147635,Crack
Meth,0.195384,Crack
Education_Left School at 18 years,0.215009,Crack
Age_25 - 34,0.251412,Crack
Mushrooms,0.276505,Crack
Country_UK,0.347002,Crack
Ecstasy,0.390418,Crack
Amphet,0.400364,Crack
VSA,0.470979,Crack
Age_45 - 54,0.527065,Crack
Cscore,0.638468,Crack
Caff,0.77677,Crack
Country_Other,0.895141,Crack
Education_Left School at 16 years,0.91483,Crack
Age_65+,0.928515,Crack
Education_Left School at 17 years,0.933248,Crack
Country_Australia,0.953483,Crack
Education_Doctorate Degree,0.971054,Crack
Education_Left School Before 16 years,0.994712,Crack
Semer,1.000292,Crack
Country_Republic of Ireland,1.001218,Crack
Country_New Zealand,1.001866,Crack
Age_55 - 64,1.004402,Crack
Country_USA,1.094959,Crack
Choc,1.41465,Crack
"Education_Some College,No Certificate Or Degree",2.382902,Crack
Education_University Degree,2.728312,Crack
SS,2.856096,Crack
Amyl,3.202422,Crack
Ketamine,3.827712,Crack
Benzos,4.1305,Crack
Nicotine,4.285645,Crack
Escore,5.976336,Crack
Impulsive,7.744555,Crack
Gender_Male,8.351734,Crack
Education_Masters Degree,9.534971,Crack
Heroin,11.532362,Crack
Coke,12.180469,Crack
Country_Canada,13.234635,Crack
LSD,13.721965,Crack
Ascore,14.667295,Crack
Alcohol,20.075638,Crack
Nscore,27.305731,Crack
Age_35 - 44,79.105962,Crack
Cannabis,176.266452,Crack
Crack,0,Crack
Oscore,0.649294,Coke
Education_Professional Certificate/ Diploma,0.718287,Coke
Legalh,0.778945,Coke
Age_65+,0.789341,Coke
Education_Left School at 17 years,0.818065,Coke
Age_45 - 54,0.82152,Coke
Country_USA,0.838842,Coke
Country_New Zealand,0.880436,Coke
Country_Australia,0.880584,Coke
Gender_Female,0.906688,Coke
Ketamine,0.913186,Coke
Age_35 - 44,0.919554,Coke
Education_Left School at 18 years,0.920135,Coke
Ascore,0.973632,Coke
Education_Left School at 16 years,0.980539,Coke
Age_18 - 24,0.99415,Coke
LSD,1.022078,Coke
Education_Doctorate Degree,1.022278,Coke
Impulsive,1.056486,Coke
Education_University Degree,1.057731,Coke
Country_Republic of Ireland,1.071031,Coke
VSA,1.073108,Coke
Mushrooms,1.087547,Coke
Gender_Male,1.102915,Coke
Country_Other,1.103131,Coke
Country_UK,1.105096,Coke
Choc,1.110365,Coke
"Education_Some College,No Certificate Or Degree",1.120877,Coke
Escore,1.136227,Coke
Country_Canada,1.138141,Coke
Cscore,1.142596,Coke
Age_55 - 64,1.162919,Coke
Meth,1.165092,Coke
Education_Masters Degree,1.181908,Coke
Nicotine,1.235796,Coke
Caff,1.23988,Coke
Age_25 - 34,1.263546,Coke
Education_Left School Before 16 years,1.266363,Coke
Nscore,1.279386,Coke
Alcohol,1.327071,Coke
Semer,1.342216,Coke
Amyl,1.402162,Coke
Amphet,1.409062,Coke
Heroin,1.461577,Coke
Crack,1.509576,Coke
Benzos,1.541797,Coke
SS,1.715863,Coke
Cannabis,1.895187,Coke
Ecstasy,2.099972,Coke
Coke,0,Coke
Country_UK,0.571183,Meth
Education_Doctorate Degree,0.585648,Meth
Age_45 - 54,0.734483,Meth
Age_35 - 44,0.746252,Meth
Ketamine,0.772024,Meth
Country_New Zealand,0.792052,Meth
Country_Republic of Ireland,0.799615,Meth
Alcohol,0.804434,Meth
Cannabis,0.8145,Meth
Age_65+,0.818175,Meth
Choc,0.824409,Meth
Ecstasy,0.826704,Meth
Education_Left School at 17 years,0.830758,Meth
Semer,0.8485,Meth
Cscore,0.863258,Meth
Ascore,0.891227,Meth
Country_Australia,0.891419,Meth
Legalh,0.917169,Meth
Gender_Female,0.927075,Meth
Impulsive,0.931505,Meth
LSD,0.93469,Meth
Education_University Degree,0.947412,Meth
Age_55 - 64,0.952183,Meth
